,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
292,DINNER AT EIGHT,2606844,42,61990,28,45,73
293,DIRTY BLONDE,7925422,48,163977,20,352,372
294,DIRTY ROTTEN SCOUNDRELS,58033865,71,808025,36,627,663
295,DISASTER!,4293431,61,70701,32,72,104
296,DISGRACED,8534968,74,114762,27,149,176
297,DIVIDING THE ESTATE,2796827,54,51037,31,50,81
298,DOCTOR ZHIVAGO,3197457,60,54370,26,23,49
299,DON'T DRESS FOR DINNER,2130070,44,48420,32,61,93
300,DON'T GET GOD STARTED,1865671,0,72528,18,85,103
301,DONNY AND MARIE: A BROADWAY CHRISTMAS,2843463,112,24979,0,20,20
302,DOUBLES,2342901,0,122866,10,277,287
303,DOUBT,27656473,67,406085,25,525,550
304,DR. SEUSS' HOW THE GRINCH STOLE CHRISTMAS!,22903349,68,322903,35,203,238
305,DRACULA THE MUSICAL,6109526,58,106028,22,157,179
306,DREAM: THE JOHNNY MERCER MUSICAL,3311853,39,84598,24,109,133
307,DREAMGIRLS,4492189,0,154504,7,177,184
308,DREAMGIRLS 1984-1985,15471737,0,545965,0,496,496
309,DREAMS AND NIGHTMARES,6033691,60,100217,21,55,76
310,DRIVING MISS DAISY,13586627,102,131694,20,180,200
311,DROOD,20993477,0,665094,24,608,632
312,DROWNING CROW,1619255,48,33799,23,54,77
313,EASTERN STANDARD,1197966,0,51347,20,92,112
314,ECLIPSED,5744145,74,77911,14,121,135
315,ELAINE STRITCH AT LIBERTY,5000248,59,84481,11,69,80
316,ELECTRA,4629683,42,108893,15,116,131
317,ELF,17898004,104,168122,7,131,138
318,ELF-THE MUSICAL,594759,65,9190,8,0,8
319,ELLING,686837,35,20665,22,9,31
320,ENCHANTED APRIL,3492109,41,85013,24,143,167
321,END OF THE RAINBOW,6856068,69,99053,16,160,176
322,ENRON,1489074,55,27431,22,16,38
323,EPIC PROPORTIONS,1317751,36,36214,27,93,120
324,EQUUS,11962267,86,140597,21,156,177
325,ESCAPE TO MARGARITAVILLE,12444604,83,153544,29,124,153
326,EUGENE ONEGIN,97542,0,4047,0,7,7
327,EVERYDAY RAPTURE,2358299,45,53366,11,85,96
328,EVITA,52678175,110,474853,26,337,363
329,EXECUTION OF JUSTICE,93247,0,7053,8,12,20
330,EXIT THE KING,6703380,69,96429,21,93,114
331,FACE VALUE,50114,0,2816,8,0,8
332,FAITH HEALER,7583448,76,99297,19,117,136
333,FALSETTOS,19931243,16,387283,53,570,623
334,FARINELLI AND THE KING,12193852,103,118919,14,111,125
335,FELA!,33452773,73,457401,38,491,529
336,FENCES,12908907,117,110215,13,88,101
337,FENCES 1987-1988,13796739,0,533252,11,525,536
338,FESTEN,1853946,53,35065,20,49,69
339,FIDDLER ON THE ROOF,107360337,69,1528524,70,1212,1282
340,FIDDLER ON THE ROOF 90-91,13629209,0,331803,18,241,259
341,FINDING NEVERLAND,64214541,88,723370,33,565,598
342,FINIAN'S RAINBOW,7888826,60,132659,22,92,114
343,FIRST DATE,10018641,63,159061,34,174,208
344,FISH IN THE DARK,27652896,126,218241,33,173,206
345,FLAMENCO PURO,1431495,0,47604,3,53,56
346,FLOWER DRUM SONG,11264444,64,173290,25,169,194
347,FLYING OVER SUNSET,2274957,57,40067,36,35,71
348,FOLLIES,19566692,92,216360,38,152,190
349,FOLLIES 2001,7080718,55,128928,31,117,148
350,FOOL FOR LOVE,3721858,71,52876,25,75,100
351,FOOL MOON,1686553,38,44657,7,49,56
352,FOOL MOON 1993,5666265,0,202319,13,215,228
353,FOOL MOON 1995-1996,2483746,19,69351,10,81,91
354,FOOTLOOSE,37134917,47,780117,18,709,727
355,FOREVER TANGO,5518980,56,97257,13,187,200
356,Forever Tango 1997-1998,13872413,40,350842,4,458,462
357,FORTUNE'S FOOL,4318899,44,98735,28,127,155
358,FOSSE,68997054,61,1121921,21,1093,1114
359,FOUR BABOONS ADORING,811304,0,45151,26,38,64
360,FRANKIE AND JOHNNY IN THE CLAIR DE LUNE,3548264,64,57997,26,69,95
361,FRANKIE AND JOHNNY IN THE CLAIRE DE LUNE,11458493,56,195423,15,243,258
362,FRANKIE VALLI AND THE FOUR SEASONS ON BROADWAY,2671259,128,21090,0,14,14
363,FREAK,5283095,34,158015,23,144,167
364,FREESTYLE LOVE SUPREME,17714172,114,152071,37,201,238
365,FROST/NIXON,9395227,65,141445,23,137,160
366,FROZEN,155193554,114,1359038,26,822,848
367,FROZEN 2004,2252052,41,55085,6,128,134
368,FULLY COMMITTED,7068657,76,93227,28,112,140
369,FUN HOME,41520587,98,416083,26,583,609
370,GARDEN DISTRICT,510674,0,23007,19,31,50
371,GARY: A SEQUEL TO TITUS ANDRONICUS,4503831,58,76853,45,65,110
372,GEM OF THE OCEAN,2577530,47,54245,15,72,87
373,GENTLEMEN PREFER BLONDES,579727,0,19399,16,24,40
374,GEORGE GERSHWIN ALONE,1055351,39,27495,16,96,112
375,GETTIN' THE BAND BACK TOGETHER,2045986,42,49295,30,40,70
376,GETTING AND SPENDING,484281,35,14353,23,41,64
377,GETTING AWAY WITH MURDER,1254380,33,37811,29,17,46
378,GETTING MARRIED,794982,0,49295,22,70,92
379,GHETTO,308308,0,18118,25,33,58
380,GHETTO KLOWN,6179540,73,84440,25,95,120
381,GHOST,13339472,72,186851,39,136,175
382,GIGI,7028015,73,96860,20,86,106
383,GLENGARRY GLEN ROSS,22834337,97,231832,75,182,257
384,GLENGARRY GLEN ROSS 1984-1985,3558883,0,201282,0,296,296
385,GLORY DAYS,111283,39,3719,17,1,18
386,GOD OF CARNAGE,37345584,86,414191,24,452,476
387,"GOD SAID ""HA""",286310,25,11388,11,22,33
388,GODSPELL,11106035,69,160892,30,264,294
389,GOLDA'S BALCONY,9309657,50,180557,14,493,507
390,GOLDEN BOY,3106647,56,54318,30,53,83
391,GOLDEN CHILD,828439,24,34346,11,69,80
392,GOOD PEOPLE,5925428,73,81075,27,101,128
393,GORE VIDAL'S THE BEST MAN,24328421,81,298174,46,306,352
394,GRACE,6479055,76,85684,22,108,130
395,GRAND HORIZONS,2259619,58,38572,35,45,80
396,GRAND HOTEL,43084265,0,1120499,31,1017,1048
397,GRAY'S ANATOMY,459423,0,25349,5,21,26
398,GREASE,47473854,86,551325,31,554,585
399,GREY GARDENS,17542980,75,234344,32,308,340
400,GRIND,2369009,0,79934,25,71,96
401,GROUNDHOG DAY,19585335,90,217221,31,176,207
402,GUYS AND DOLLS,10220561,67,152117,28,121,149
403,GUYS AND DOLLS 1992-1995,65388544,0,1282292,33,1143,1176
404,GYPSY,31430300,71,441949,27,332,359
405,GYPSY 1989-1991,29497916,0,765365,35,581,616
406,GYPSY 2003-2004,37762532,68,549037,33,451,484
407,GYPSY PASSION,614574,0,23042,0,55,55
408,HAIR,54024621,77,682727,40,586,626
409,HAIRSPRAY,252181270,73,3418653,31,2642,2673
410,HAMLET 1992,665378,0,28273,26,45,71
411,HAMLET 1995,5094936,0,105388,19,91,110
412,HAMLET 2009,10010252,101,99759,25,72,97
413,HAND TO GOD,12134434,70,173143,26,311,337
414,HANDS ON A HARDBODY,1597428,40,41856,28,28,56
415,HARRIGAN 'N HART,288674,0,15114,25,4,29
416,HARRY CONNICK JR.,2620770,127,20625,0,15,15
417,Harry Connick Jr. 1990,630158,0,19628,0,13,13
418,"HARRY CONNICK, JR. - A CELEBRATION OF COLE PORTER",4434144,163,28568,5,21,26
419,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO",174056581,132,1324815,34,783,817
420,HARVEY,6802810,72,93579,32,62,94
421,HAVING OUR SAY,5342140,4,179225,24,317,341
422,HAY FEVER,1622144,0,74796,16,124,140
423,HEAD OVER HEELS,7107981,61,121187,37,188,225
424,HEARTBREAK HOUSE,3177764,47,67971,30,79,109
425,HEDDA GABLER 1994,868966,0,30070,37,33,70
426,HEDDA GABLER 2001-2002,3297340,40,83031,17,117,134
427,HEDDA GABLER 2009,2742238,49,56067,21,74,95
428,HEDWIG AND THE ANGRY INCH,50259435,107,459696,22,507,529
429,HEISENBERG,4516447,78,57555,26,67,93
430,HELLO DOLLY!,6459815,26,144729,11,116,127
431,"HELLO, DOLLY!",128198738,156,811203,34,550,584
432,HENRY IV,4870242,62,77060,20,58,78
433,HIGH,449955,26,18112,29,7,36
434,HIGH FIDELITY,1096116,55,20022,19,13,32
435,HIGH SOCIETY,7317557,43,168193,27,144,171
436,HILLARY AND CLINTON,5240468,66,79786,37,77,114
437,HIZZONER,137324,0,8752,12,12,24
438,HOLIDAY,741050,17,30364,17,50,67
439,HOLIDAY INN,10143052,80,124170,38,117,155
440,HOLLER IF YA HEAR ME,1209478,34,37161,17,38,55
441,HOLLYWOOD ARMS,2043835,44,47006,28,76,104
442,HOME FOR THE HOLIDAYS,481817,24,20609,6,47,53
443,HOME FRONT,156133,0,9180,11,13,24
444,HONEYMOON IN VEGAS,7609536,66,117945,66,93,159
445,HONKY TONK NIGHTS,78865,0,6122,14,4,18
446,HONOUR,1132819,28,41160,27,57,84
447,HOT FEET,3766746,49,76824,12,97,109
448,HOUSE OF BLUE LEAVES,5700561,0,272340,0,352,352
449,HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING,59740764,94,628957,30,473,503
450,HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING 95/96,29473664,20,629821,16,548,564
451,HUGH JACKMAN - BACK ON BROADWAY,14634985,156,93407,18,61,79
452,HUGHIE,4697236,55,83562,46,93,139
453,HURLYBURLY,6766948,0,250730,0,343,343
454,I AM MY OWN WIFE,8648562,49,176011,26,360,386
455,I HATE HAMLET,1373609,0,73124,24,88,112
456,I'LL EAT YOU LAST: A CHAT WITH SUE MENGERS,9561477,137,69337,18,71,89
457,I'M NOT RAPPAPORT,793377,37,21365,15,53,68
458,I'm Not Rappaport 1985-1988,14858286,0,571321,0,891,891
459,I'M STILL HERE...DAMN IT!,1228086,38,32876,12,51,63
460,IAN MCKELLAN: KNIGHTOUT,192571,0,3794,0,5,5
461,ICEMAN COMETH,1505587,0,58553,7,55,62
462,IF YOU EVER LEAVE ME…I'M GOING WITH YOU,1361049,37,36852,24,53,77
